"label","name","super_class","is_extendable","sys_updated_on"
"Cache flush","sys_cache_flush","","false","2020-09-13 06:16:03"
"Calculation Adapter Rule","sys_calculation_adapter_rule","Adapter Rule","false","2020-09-13 06:54:31"
"Calendar","sys_calendar","Application File","false","2020-09-13 06:14:46"
"Call Chain","sys_call_chain","","false","2020-09-13 06:57:29"
"Day","sys_cal_day","Application File","false","2020-09-13 06:14:46"
"Sys Cal Span","sys_cal_span","Application File","false","2020-09-13 06:14:46"
"Day of the Week","sys_cal_unit","","false","2020-09-13 06:14:17"
"Canvas preferences","sys_canvas_preferences","","false","2020-09-13 06:53:24"
"X.509 Certificate","sys_certificate","","false","2020-09-13 06:17:43"
"Sys Checkpoint","sys_checkpoint","","false","2020-09-13 06:14:46"
"Choice","sys_choice","","false","2020-09-13 06:14:10"
"Choice Set","sys_choice_set","Application File","false","2020-09-13 06:14:10"
"Application File Claims","sys_claim","","false","2020-09-13 06:17:24"
"Client Extension Instance","sys_client_extension_instance","Application File","false","2020-09-13 06:40:26"
"Client Extension Point","sys_client_extension_point","Application File","false","2020-09-13 06:40:26"
"Cluster Control","sys_cluster_control","","false","2020-09-13 06:16:03"
"Cluster Message","sys_cluster_message","","false","2020-09-13 06:16:04"
"Node stats","sys_cluster_node_stats","","false","2020-09-13 06:16:04"
"Node State","sys_cluster_state","","false","2020-09-13 06:16:04"
"Deferred Coalesce Strategy","sys_coalesce_strategy_deferred","","false","2020-09-13 06:14:47"
"Sys Collection","sys_collection","","false","2020-09-13 06:14:13"
"Column Statistics","sys_column_stats","","false","2020-09-13 06:20:02"
"Column Statistics Registry","sys_column_stats_registry","","false","2020-09-13 06:20:02"
"Complex Object","sys_complex_object","Application File","false","2020-09-13 06:54:18"
"Complex Object Output Strategy","sys_complex_object_output_strategy","Application File","false","2020-09-13 06:54:28"
"Concurrent Import Set","sys_concurrent_import_set","","false","2020-09-13 06:18:13"
"Concurrent Import Set Job","sys_concurrent_import_set_job","","false","2020-09-13 06:18:14"
"Conditional Adapter Rule","sys_conditional_adapter_rule","Adapter Rule","false","2020-09-13 06:54:31"
"Connection","sys_connection","","true","2020-09-13 06:45:45"
"Copied-Base Upgrade Log Mapping","sys_copied_base_upgrade_log_mapping","","false","2020-09-13 06:59:07"
"CORS Rule","sys_cors_rule","Application File","false","2020-09-13 06:40:58"
"Conversation Server Field Script Validator","sys_cs_field_script_validator","Application File","false","2020-09-13 06:39:02"
"Currency Adapter Rule","sys_currency_conversion_adapter_rule","Adapter Rule","false","2020-09-13 06:54:28"
"Sys Customer Trend","sys_customer_trend","","false","2020-09-13 06:14:17"
"Custom DB Objects","sys_custom_db_object","","false","2020-09-13 07:01:51"
"Dashboard Layout","sys_dashboard","Application File","false","2020-09-13 06:16:13"
"Dashboard Placement","sys_dashboard_detail","Application File","false","2020-09-13 06:16:12"
"Dashboard Template","sys_dashboard_template","","false","2020-09-13 06:16:13"
"Data Policy","sys_data_policy2","Application File","false","2020-09-13 06:15:17"
"Data Policy Rule","sys_data_policy_rule","Application File","false","2020-09-13 06:15:17"
"Data Source","sys_data_source","Application File","false","2020-09-13 06:18:07"
"Cache Entry","sys_db_cache","","false","2020-09-13 06:14:13"
"Table","sys_db_object","Application File","false","2020-09-13 06:14:08"
"Database View","sys_db_view","Application File","false","2020-09-13 06:15:20"
"View Table","sys_db_view_table","Application File","false","2020-09-13 06:15:20"
"View Field","sys_db_view_table_field","Application File","false","2020-09-13 06:15:20"
"Decision Table","sys_decision","Application File","true","2020-09-13 06:54:24"
"Decision Input","sys_decision_input","Variables","false","2020-09-13 06:54:25"
"Decision","sys_decision_question","Application File","false","2020-09-13 06:54:24"
"Action Assignment","sys_declarative_action_assignment","Application File","false","2020-09-13 06:43:07"
"Action Definition","sys_declarative_action_definition","Application File","false","2020-09-13 06:43:08"
"Declarative Action Group","sys_declarative_action_group","","false","2020-09-13 06:43:07"
"Action Model Definition","sys_declarative_action_model_definition","Application File","false","2020-09-13 06:43:08"
"Action Model Field","sys_declarative_action_model_field","Variables","false","2020-09-13 06:43:08"
"Action Payload Definition","sys_declarative_action_payload_definition","Application File","false","2020-09-13 06:43:08"
"Action Payload Field","sys_declarative_action_payload_field","Variables","false","2020-09-13 06:43:08"
"Action Payload Mapping","sys_declarative_action_payload_mapping","Application File","false","2020-09-13 06:43:08"
"Delete Recovery","sys_delete_recovery","","false","2020-09-13 06:20:04"
"Development Permission","sys_development_permission","Application File","false","2020-09-13 06:19:41"
"Development Permission Set","sys_development_permission_set","Application File","false","2020-09-13 06:19:41"
"Dictionary Entry","sys_dictionary","Application File","true","2020-09-13 06:14:08"
"Dictionary Entry Override","sys_dictionary_override","Application File","false","2020-09-13 06:14:10"
"Field Label","sys_documentation","Application File","false","2020-09-13 06:14:08"
"Document Audit Trail","sys_document_viewer_audit_trail","","false","2020-09-13 07:02:58"
"Document View Status","sys_document_viewer_status","","false","2020-09-13 07:02:57"
"Domain","sys_domain","","false","2020-09-13 06:46:00"
"Time Duration Conversion Adapter Rule","sys_duration_conversion_adapter_rule","Adapter Rule","false","2020-09-13 06:54:29"
"Element Mapping","sys_element_mapping","","false","2020-09-13 06:20:05"
"Email","sys_email","","false","2020-09-13 06:14:21"
"Email Account","sys_email_account","","false","2020-09-13 06:43:05"
"Email Account Group","sys_email_account_group","","false","2020-09-13 06:43:04"
"Email Address Filter","sys_email_address_filter","Application File","false","2020-09-13 06:16:48"
"Email Address Filter Domain","sys_email_address_filt_domain","Application File","false","2020-09-13 06:16:48"
"Email Address Filter Exception","sys_email_address_filt_except","Application File","false","2020-09-13 06:16:48"
"Email Attachment","sys_email_attachment","","false","2020-09-13 06:16:51"
"Quick Message","sys_email_canned_message","Application File","false","2020-09-13 06:14:22"
"Email Client Configuration","sys_email_client_configuration","Application File","false","2020-09-13 06:16:49"
"Email Client From Address","sys_email_client_from_address","Application File","false","2020-09-13 06:16:49"
"Email Client Template","sys_email_client_template","Application File","false","2020-09-13 06:16:47"
"Digest Interval","sys_email_digest_interval","Application File","false","2020-09-13 06:16:53"
"Email Digest Part","sys_email_digest_part","","false","2020-09-13 06:16:53"
"Email Digest Part User","sys_email_digest_part_user","","false","2020-09-13 06:16:53"
"Email Digest User Preference","sys_email_digest_user_pref","","false","2020-09-13 06:16:53"
"Email Draft","sys_email_draft","","false","2020-09-13 06:16:49"
"Email Draft Attachment","sys_email_draft_attachment","","false","2020-09-13 06:16:49"
"Email Draft Recipient","sys_email_draft_recipient","","false","2020-09-13 06:16:49"
"Email Filter","sys_email_filter","Application File","false","2020-09-13 06:16:38"
"Filter Action","sys_email_filter_action","Application File","false","2020-09-13 06:16:38"
"Email Layout","sys_email_layout","Application File","false","2020-09-13 06:16:36"
"Email Log","sys_email_log","","false","2020-09-13 06:14:22"
"System Address Filters","sys_email_system_filter","Application File","false","2020-09-13 06:16:51"
"Embedded Help","sys_embedded_help_content","Application File","false","2020-09-13 06:53:28"
"Embedded Help Qualifier","sys_embedded_help_qualifier","Application File","false","2020-09-13 06:53:28"
"Embedded Help Queue","sys_embedded_help_queue","","false","2020-09-13 06:53:28"
"Embedded Help Role Priority","sys_embedded_help_role","Application File","false","2020-09-13 06:53:29"
"Guided Tour Element","sys_embedded_tour_element","Application File","false","2020-09-13 06:53:31"
"Guided Tour","sys_embedded_tour_guide","Application File","false","2020-09-13 06:53:32"
"Guided Tour Step","sys_embedded_tour_step","Application File","false","2020-09-13 06:53:32"
"Embed Object","sys_embed_object","Application File","false","2020-09-13 06:39:55"
"Event Processor","sys_event_processor","","false","2020-09-13 06:14:45"
"Execution Contex for Scheduled import","sys_execution_context","","false","2020-09-13 06:18:12"
"Hierarchical scheduled import execution plan","sys_execution_plan","","false","2020-09-13 06:18:13"
"Execution Tracker","sys_execution_tracker","","false","2020-09-13 06:14:16"
"Export Definition","sys_export_definition","Application File","false","2020-09-13 06:43:43"
"Export Set","sys_export_set","Application File","false","2020-09-13 06:43:43"
"Export Log","sys_export_set_log","Log Entry","false","2020-09-13 06:43:43"
"Export Log","sys_export_set_log0000","Log Entry","false","2020-09-13 06:44:14"
"Export Log","sys_export_set_log0001","Log Entry","false","2020-09-13 06:44:16"
"Export Log","sys_export_set_log0002","Log Entry","false","2020-09-13 06:44:18"
